Reaction,kT_keV,MACS(b)
"⁵⁶Fe(n,g)⁵⁷Fe",5,11.8
"⁵⁶Fe(n,g)⁵⁷Fe",10,9.73
"⁵⁶Fe(n,g)⁵⁷Fe",15,10.8
"⁵⁶Fe(n,g)⁵⁷Fe",20,11.5
"⁵⁶Fe(n,g)⁵⁷Fe",25,11.7
"⁵⁶Fe(n,g)⁵⁷Fe",30,11.7
"⁵⁶Fe(n,g)⁵⁷Fe",40,11.3
"⁵⁶Fe(n,g)⁵⁷Fe",50,10.6
"⁵⁶Fe(n,g)⁵⁷Fe",60,9.97
"⁵⁶Fe(n,g)⁵⁷Fe",80,8.63
"⁵⁶Fe(n,g)⁵⁷Fe",100,7.42
"⁵⁷Fe(n,g)⁵⁸Fe",5,124
"⁵⁷Fe(n,g)⁵⁸Fe",10,86
"⁵⁷Fe(n,g)⁵⁸Fe",15,67
"⁵⁷Fe(n,g)⁵⁸Fe",20,54
"⁵⁷Fe(n,g)⁵⁸Fe",25,46
"⁵⁷Fe(n,g)⁵⁸Fe",30,40
"⁵⁷Fe(n,g)⁵⁸Fe",40,32
"⁵⁷Fe(n,g)⁵⁸Fe",50,26
"⁵⁷Fe(n,g)⁵⁸Fe",60,23
"⁵⁷Fe(n,g)⁵⁸Fe",80,19
"⁵⁷Fe(n,g)⁵⁸Fe",100,16
"⁵⁸Fe(n,g)⁵⁹Fe",5,30.1
"⁵⁸Fe(n,g)⁵⁹Fe",10,23.4
"⁵⁸Fe(n,g)⁵⁹Fe",15,19
"⁵⁸Fe(n,g)⁵⁹Fe",20,16.7
"⁵⁸Fe(n,g)⁵⁹Fe",25,14.5
"⁵⁸Fe(n,g)⁵⁹Fe",30,13.5
"⁵⁸Fe(n,g)⁵⁹Fe",40,12.3
"⁵⁸Fe(n,g)⁵⁹Fe",50,10.9
"⁵⁸Fe(n,g)⁵⁹Fe",60,10.4
"⁵⁸Fe(n,g)⁵⁹Fe",80,9.6
"⁵⁸Fe(n,g)⁵⁹Fe",100,8.6